id,lat_s,lat_e,lon_s,lon_e
"1",38.65706187,38.65719872,141.46303700,141.46412110
"1",38.65677476,38.65691429,141.46319270,141.46423910
"1",38.65648229,38.65662182,141.46327050,141.46429010
"1",38.65620323,38.65636691,141.46325440,141.46438400
"1",38.65594027,38.65607712,141.46331610,141.46437870
"1",38.65424177,38.65453425,141.46354690,141.46462280
"1",38.65392246,38.65418274,141.46372130,141.46481600
"1",38.65353876,38.65380977,141.46372660,141.46483750
"1",38.65316847,38.65340191,141.46376690,141.46509240
"1",38.65274988,38.65301284,141.46405400,141.46512730
"1",38.65235276,38.65259425,141.46414790,141.46529900
"1",38.65202272,38.65227495,141.46415600,141.46526950
"1",38.65167926,38.65187782,141.46425520,141.46535810
"1",38.65138142,38.65156120,141.46439210,141.46550830
"1",38.65094405,38.65120701,141.46439210,141.46567740
"1",38.65063011,38.65080318,141.46450480,141.46559020
"1",38.65873488,38.65884221,141.46439610,141.46549890
"1",38.65842630,38.65852827,141.46453560,141.46558750
"1",38.65816603,38.65830556,141.46455440,141.46568140
"1",38.65791649,38.65802918,141.46466710,141.46570290
"1",38.65765084,38.65779037,141.46466180,141.46573240
"1",38.65734764,38.65747643,141.46462690,141.46573240
"1",38.65704711,38.65718664,141.46465910,141.46576990
"1",38.65680830,38.65698808,141.46476100,141.46585310
"1",38.65653998,38.65673317,141.46480130,141.46590140
"1",38.65630922,38.65646216,141.46490060,141.46597390
"1",38.65604894,38.65622604,141.46493810,141.46603290
"1",38.65405528,38.65431288,141.46621000,141.46734500
"1",38.65371451,38.65390502,141.46599800,141.46734230
"1",38.65344082,38.65356693,141.46632540,141.46740140
"1",38.65297930,38.65318323,141.46640320,141.46751670
"1",38.65255266,38.65279416,141.46637100,141.46751410
"1",38.65221726,38.65246948,141.46625020,141.46750060
"1",38.65194356,38.65212603,141.46642730,141.46753020
"1",38.65154376,38.65173964,141.46642470,141.46759720
"1",38.65130763,38.65146058,141.46648640,141.46759450
"1",38.65106077,38.65112785,141.46637370,141.46754630
"1",38.65767634,38.65782928,141.46615630,141.46726180
"1",38.65741338,38.65755022,141.46618580,141.46738790
"1",38.65718798,38.65731946,141.46624490,141.46740140
"1",38.65692905,38.65708199,141.46627840,141.46737850
"1",38.65669292,38.65683245,141.46636700,141.46733830
"1",38.65643801,38.65658559,141.46644210,141.46752610
"1",38.65624214,38.65638167,141.46649310,141.46761200
"1",38.65301687,38.65301687,141.46854040,141.46966200
"1",38.65251241,38.65254998,141.46846530,141.46986060
"1",38.65217164,38.65222531,141.46856190,141.46968350
"1",38.65161352,38.65176915,141.46845450,141.46971570
"1",38.65144180,38.65159742,141.46850820,141.46983370
"1",38.65428068,38.65435581,141.47044550,141.47158590
"1",38.65399894,38.65409285,141.47045360,141.47160470
"1",38.65361523,38.65373598,141.47056090,141.47173880
"1",38.65324226,38.65333886,141.47052330,141.47171470
"1",38.65288539,38.65299003,141.47051260,141.47165830
"1",38.65250705,38.65264389,141.47050450,141.47162350
"1",38.65214212,38.65233264,141.47052870,141.47173620
"1",38.65183087,38.65202138,141.47059310,141.47175760
"1",38.65147668,38.65163231,141.47056090,141.47170930
"2",38.65048387,38.65070122,141.47073260,141.47195890
"2",38.65030946,38.65047046,141.47071650,141.47185960
"2",38.65000625,38.65019945,141.47071920,141.47182200
"2",38.64986404,38.65001699,141.47067890,141.47163150
"2",38.64972451,38.64984794,141.47066820,141.47160200
"1",38.65476366,38.65487099,141.47257060,141.47372440
"1",38.65445241,38.65450607,141.47257060,141.47374590
"1",38.65419481,38.65423775,141.47265650,141.47379960
"1",38.65382989,38.65395332,141.47286580,141.47392840
"1",38.65345424,38.65358840,141.47297310,141.47408400
"1",38.65313225,38.65328251,141.47295170,141.47403570
"1",38.65279952,38.65292832,141.47281750,141.47395520
"1",38.65252046,38.65255803,141.47295700,141.47403030
"1",38.65214481,38.65216627,141.47291140,141.47406520
"1",38.65185233,38.65188185,141.47286040,141.47400890
"1",38.65148473,38.65153571,141.47282560,141.47400080
"1",38.65483074,38.65490051,141.47481380,141.47581740
"1",38.65459462,38.65463218,141.47472800,141.47593280
"1",38.65429409,38.65431019,141.47477090,141.47600520
"1",38.65386477,38.65391576,141.47479510,141.47587640
"1",38.65353205,38.65353473,141.47478160,141.47591930
"1",38.65322079,38.65318323,141.47481650,141.47596500
"1",38.65278879,38.65281830,141.47482860,141.47600650
"1",38.65237557,38.65243728,141.47484740,141.47604410
"1",38.65202406,38.65202674,141.47498690,141.47619710
"1",38.65161352,38.65167792,141.47514520,141.47620780
"2",38.66965304,38.66981537,141.46726990,141.46796350
"2",38.66931763,38.66947863,141.46733290,141.46797960
"2",38.66916737,38.66926933,141.46729270,141.46805740
"1",38.66863072,38.66872463,141.46721220,141.46831500
"1",38.66842947,38.66849656,141.46735980,141.46834720
"1",38.66822823,38.66833824,141.46731680,141.46838210
"1",38.66805382,38.66815310,141.46718000,141.46843570
"1",38.66781233,38.66792502,141.46728730,141.46839550
"1",38.66755742,38.66773451,141.46745900,141.46841970
"1",38.66731056,38.66750643,141.46730610,141.46840360
"1",38.66706906,38.66727299,141.46731950,141.46837670
"1",38.66690807,38.66711200,141.46733020,141.46840890
"1",38.66663706,38.66686782,141.46736780,141.46856190
"1",38.66883330,38.66887087,141.46890260,141.47002960
"1",38.66859718,38.66866158,141.46897240,141.47002960
"1",38.66834495,38.66848985,141.46888650,141.46998130
"1",38.66814639,38.66831812,141.46894560,141.47004570
"1",38.66792100,38.66810882,141.46893480,141.47002420
"1",38.66773854,38.66792100,141.46891870,141.47000810
"1",38.66747021,38.66770097,141.46888650,141.46997590
"1",38.66730922,38.66751314,141.46895630,141.47005110
"1",38.66708919,38.66730922,141.46902070,141.47005110
"1",38.66904394,38.66905199,141.46892410,141.46971160
"1",38.65513932,38.65513664,141.47687590,141.47802440
"1",38.65449400,38.65450205,141.47685180,141.47796800
"1",38.65408883,38.65418811,141.47711740,141.47830880
"1",38.65377757,38.65388624,141.47716030,141.47831150
"1",38.65335361,38.65343411,141.47703020,141.47814110
"1",38.65294039,38.65296723,141.47713220,141.47817330
"1",38.65252717,38.65248424,141.47710530,141.47824300
"1",38.65214615,38.65217298,141.47713220,141.47819470
"1",38.65167926,38.65171683,141.47711070,141.47815180
"1",38.65537142,38.65544655,141.47907490,141.48014280
"1",38.65480794,38.65482940,141.47904800,141.48015350
"1",38.65442692,38.65443228,141.47909630,141.48028230
"1",38.65399223,38.65401369,141.47909090,141.48028770
"1",38.65367024,38.65362731,141.47909090,141.48023400
"1",38.65331605,38.65326238,141.47910170,141.48028230
"1",38.65281696,38.65283306,141.47919830,141.48031990
"1",38.65240911,38.65245472,141.47930560,141.48045400
"1",38.65211932,38.65210322,141.47930830,141.48036820
"1",38.65181074,38.65177586,141.47931100,141.48049160
"1",38.65137606,38.65140021,141.47925730,141.48052110
"1",38.65698003,38.65705516,141.48120000,141.48222230
"1",38.65662047,38.65666877,141.48140390,141.48220750
"1",38.65617774,38.65628238,141.48127780,141.48228400
"1",38.65575110,38.65577525,141.48105780,141.48220080
"1",38.65534056,38.65535398,141.48113830,141.48228670
"1",38.65500516,38.65505077,141.48120540,141.48229740
"1",38.65457852,38.65459462,141.48122150,141.48240480
"1",38.65423775,38.65424580,141.48118390,141.48248790
"1",38.65379501,38.65385404,141.48129390,141.48242620
"1",38.65340325,38.65346765,141.48120800,141.48232430
"1",38.65307590,38.65311346,141.48119190,141.48237260
"1",38.65257950,38.65266536,141.48131270,141.48249060
"1",38.65222799,38.65225214,141.48124290,141.48241550
"1",38.65186038,38.65182550,141.48126170,141.48244770
"1",38.65147668,38.65149278,141.48119190,141.48254970
"1",38.65104736,38.65106614,141.48130730,141.48250670
"1",38.65066902,38.65067439,141.48127510,141.48238600
"1",38.65609724,38.65617505,141.48354110,141.48470570
"1",38.65566121,38.65573634,141.48354520,141.48475260
"1",38.65537142,38.65541435,141.48349690,141.48472580
