id,lat_s,lat_e,lon_s,lon_e
"1",4279483.71700000,4279492.20000000,539618.19330000,539717.57610000
"1",4279455.27000000,4279469.23200000,539620.29170000,539717.29890000
"1",4279432.34400000,4279439.30300000,539628.23440000,539722.53660000
"1",4279395.41000000,4279406.36500000,539630.37500000,539725.04930000
"1",4279367.97100000,4279383.95000000,539634.42570000,539735.33840000
"1",4279338.56600000,4279360.50100000,539644.74930000,539738.58670000
"1",4279311.64200000,4279330.57700000,539651.92910000,539744.99880000
"1",4279285.19800000,4279306.61600000,539655.19210000,539745.50960000
"1",4279254.73800000,4279275.17300000,539654.16910000,539747.62350000
"1",4279225.34000000,4279244.31100000,539665.86300000,539765.97960000
"1",4279198.40400000,4279213.85500000,539670.69430000,539765.73990000
"1",4279168.44200000,4279186.37700000,539669.27740000,539761.96230000
"1",4279149.03600000,4279166.94800000,539682.29190000,539770.27960000
"1",4279120.07800000,4279136.53300000,539682.04440000,539778.26030000
"1",4279150.81100000,4279168.73100000,539537.05390000,539626.99910000
"1",4279089.50200000,4279105.20300000,539557.12620000,539652.56350000
"1",4279059.31100000,4279074.77300000,539559.82030000,539657.41220000
"1",4279025.38100000,4279042.84200000,539563.70740000,539661.68120000
"1",4278969.25600000,4278978.24200000,539572.01060000,539672.57170000
"1",4278937.34100000,4278944.06100000,539579.60670000,539676.06910000
"1",4278907.38800000,4278915.63400000,539580.14670000,539682.27810000
"1",4278876.45900000,4278888.92700000,539584.99770000,539682.80240000
"1",4279090.42400000,4279105.86800000,539692.56550000,539786.04660000
"1",4279062.49000000,4279075.95600000,539697.40190000,539794.80770000
"1",4279039.08400000,4279047.54000000,539709.26210000,539803.17010000
"1",4279010.64100000,4279021.58900000,539712.14390000,539805.25680000
"1",4278990.22100000,4278996.16300000,539722.03200000,539812.42990000
"1",4278964.30700000,4278973.15700000,539731.55610000,539804.32400000
"1",4278933.31700000,4278944.70000000,539724.27260000,539804.46600000
"1",4278907.36600000,4278917.34500000,539726.35910000,539825.35000000
"1",4278879.90000000,4278890.37800000,539724.93000000,539823.91880000
"1",4278858.38800000,4278863.38200000,539716.03330000,539816.61560000
"1",4278830.48300000,4278837.47400000,539726.74180000,539827.31450000
"1",4278811.55600000,4278817.50700000,539735.83990000,539827.80560000
"1",4278555.44100000,4278573.78400000,539231.71130000,539306.78550000
"1",4278534.96600000,4278558.34600000,539230.63750000,539314.69120000
"1",4278520.03700000,4278542.38500000,539240.49790000,539317.90170000
"1",4278503.09400000,4278529.42100000,539246.84500000,539321.09740000
"1",4278491.65400000,4278514.46400000,539255.51390000,539325.47740000
"1",4278480.70700000,4278501.98500000,539263.00600000,539325.93040000
"1",4278596.48300000,4278606.86800000,539354.04280000,539435.02790000
"1",4278576.03300000,4278592.36700000,539358.05850000,539430.40180000
"1",4278563.08000000,4278581.43200000,539363.60310000,539440.24290000
"1",4278551.14800000,4278569.99200000,539373.84050000,539448.91200000
"1",4278539.69700000,4278557.05000000,539380.16070000,539456.80560000
"1",4278523.72700000,4278545.09700000,539381.41400000,539462.73700000
"1",4278502.30200000,4278524.65300000,539390.13240000,539467.92730000
"1",4278657.54900000,4278680.37700000,539486.84400000,539559.93710000
"1",4278645.05400000,4278665.91100000,539484.16550000,539562.35770000
"1",4278630.60500000,4278650.43600000,539490.10920000,539562.82590000
"1",4278620.41600000,4278640.00400000,539499.35930000,539573.25180000
"1",4278606.19600000,4278625.02800000,539500.99560000,539573.71750000
"1",4278590.45000000,4278609.29100000,539497.15880000,539571.64240000
"1",4278574.75600000,4278590.13800000,539503.69590000,539585.24350000
"1",4278553.79900000,4278571.63000000,539506.14850000,539578.09280000
